,id,Name,X,Y,LONGITUDE,LATITUDE,MESSAGEDATE,USERID,USERSCREENNAME,MESSAGETEXT,LOCATION,HASHTAGS,ISRETWEET,datetime,Cluster,parsed_tweets,stemmed_tokens,is_new_years_tweet,is_eastender_tweet
1090,550750306322350080,,-0.31102399999999997,51.428665,-0.311024010181427,51.42866516113281,01/01/2015 20:28:00,745107300,laraarogerss,Eastenders    ,Kingston upon Thames,,0,2015-01-01 20:28:00,1,Eastenders,['eastend'],False,True
1109,550747352349573121,,-0.27368899999999996,51.39946,-0.27368900179862976,51.39945983886719,01/01/2015 20:16:15,365780632,gazzadexy40,Just watching The Killing what a tv series this was.,Kingston upon Thames,,0,2015-01-01 20:16:15,1,Just watching The Killing what a tv series this was,"['just', 'watch', 'the', 'kill', 'what', 'a', 'tv', 'seri', 'thi', 'wa']",False,True
1138,550740704834879488,,-0.303298,51.388023,-0.3032979965209961,51.38802337646485,01/01/2015 19:49:50,599597636,LukePearce_,@bwatson_1996 dead,Kingston upon Thames,,0,2015-01-01 19:49:50,1,dead,['dead'],False,True
1161,550813445340540928,,-0.277079,51.40688,-0.2770789861679077,51.40687942504883,02/01/2015 00:38:53,2159134175,NicMcDonnell,Just got back home and watched Eastenders!!! I almost bursted into tears      oh my god!!!,Kingston upon Thames,,0,2015-02-01 00:38:53,1,Just got back home and watched Eastenders I almost bursted into tears oh my god,"['just', 'got', 'back', 'home', 'and', 'watch', 'eastend', 'I', 'almost', 'burst', 'into', 'tear', 'oh', 'my', 'god']",False,True
1179,550774960831344641,,-0.288749,51.366135,-0.28874900937080383,51.36613464355469,01/01/2015 22:05:58,2882521813,BRamphul,Eastenders baffles me,Kingston upon Thames,,0,2015-01-01 22:05:58,1,Eastenders baffles me,"['eastend', 'baffl', 'me']",False,True
1187,550766671288619010,,-0.286483,51.41692000000001,-0.2864829897880554,51.41691970825195,01/01/2015 21:33:01,99181226,adey1212,EMMAS GONNA DIE,Kingston upon Thames,,0,2015-01-01 21:33:01,1,EMMAS GONNA DIE,"['emma', 'gon', 'NA', 'die']",False,True
1197,550771625474658305,,-0.293387,51.416709999999995,-0.2933869957923889,51.416709899902344,01/01/2015 21:52:43,450719269,manda10110,@Sandypandy74 pronounced dead then heart beats at the end Duh Duh Duh Duh....!,Kingston upon Thames,,0,2015-01-01 21:52:43,1,pronounced dead then heart beats at the end Duh Duh Duh Duh,"['pronounc', 'dead', 'then', 'heart', 'beat', 'at', 'the', 'end', 'duh', 'duh', 'duh', 'duh']",False,True
1200,550771446340132864,,-0.293401,51.416714,-0.29340100288391113,51.41671371459961,01/01/2015 21:52:00,450719269,manda10110,@Sandypandy74 lucy but gets hit by car on her way to police; car taking ronnie to maternity on her wedding day; baby survives; ronnie,Kingston upon Thames,,0,2015-01-01 21:52:00,1,lucy but gets hit by car on her way to police car taking ronnie to maternity on her wedding day baby survives ronnie,"['luci', 'but', 'get', 'hit', 'by', 'car', 'on', 'her', 'way', 'to', 'polic', 'car', 'take', 'ronni', 'to', 'matern', 'on', 'her', 'wed', 'day', 'babi', 'surviv', 'ronni']",False,True
1206,550771072258539520,,-0.29337199999999997,51.4167,-0.2933720052242279,51.41669845581055,01/01/2015 21:50:31,450719269,manda10110,@Sandypandy74 Where to start? Linda told Mick about rape; shirley told mick he was her son; kim is back pregnant; emma knows who killed,Kingston upon Thames,,0,2015-01-01 21:50:31,1,Where to start Linda told Mick about rape shirley told mick he was her son kim is back pregnant emma knows who killed,"['where', 'to', 'start', 'linda', 'told', 'mick', 'about', 'rape', 'shirley', 'told', 'mick', 'he', 'wa', 'her', 'son', 'kim', 'is', 'back', 'pregnant', 'emma', 'know', 'who', 'kill']",False,True
1489,550198809784250368,,-0.08666599999999999,51.408984999999994,-0.08666600286960602,51.40898513793945,31/12/2014 07:56:33,103631454,tumiatolagbe,'Welcome to EE the fastest; most reliable network in the UK' you are liars and you will continue to die in your lies,Croydon,,0,2014-12-31 07:56:33,1,Welcome to EE the fastest most reliable network in the UK you are liars and you will continue to die in your lies,"['welcom', 'to', 'EE', 'the', 'fastest', 'most', 'reliabl', 'network', 'in', 'the', 'UK', 'you', 'are', 'liar', 'and', 'you', 'will', 'continu', 'to', 'die', 'in', 'your', 'lie']",False,True
1626,550297820528672768,,-0.075949,51.394222,-0.07594899833202362,51.39422225952149,31/12/2014 14:29:59,484903035,charlottemoyy,Omg this fucking killed me     http://t.co/CYN1GC5lY8,Croydon,,0,2014-12-31 14:29:59,1,Omg this fucking killed me,"['omg', 'thi', 'fuck', 'kill', 'me']",False,True
1720,550253008349835264,,-0.096113,51.329445,-0.09611299633979796,51.329444885253906,31/12/2014 11:31:55,423733939,danilauramerola,@sunshinealbons: EMMA AND PATTY ARE IN KERRANG; WHAT ??ÃÂ¿ÃÂ¿ @emmablackery http://t.co/jzt6pCYvmX OMFG,Croydon,,0,2014-12-31 11:31:55,1,EMMA AND PATTY ARE IN KERRANG WHAT,"['emma', 'and', 'patti', 'are', 'IN', 'kerrang', 'what']",False,True
2052,550318895631179777,,-0.087774,51.40999,-0.08777400106191635,51.40998840332031,31/12/2014 15:53:43,2326771850,SadiaBee,@daniboyqpr I kno I read about opie getting killed but when I watched it was even more shocking then I imagined. Soa has taken over my life!,Croydon,,0,2014-12-31 15:53:43,1,I kno I read about opie getting killed but when I watched it was even more shocking then I imagined Soa has taken over my life,"['I', 'kno', 'I', 'read', 'about', 'opi', 'get', 'kill', 'but', 'when', 'I', 'watch', 'it', 'wa', 'even', 'more', 'shock', 'then', 'I', 'imagin', 'soa', 'ha', 'taken', 'over', 'my', 'life']",False,True
2192,550263536191299584,,-0.096313,51.4175,-0.0963129997253418,51.41749954223633,31/12/2014 12:13:45,173774456,_txsha, @SoloBokz: Lucy had potential to be a messed up film but failed  it's so shit,Croydon,,0,2014-12-31 12:13:45,1,Lucy had potential to be a messed up film but failed it s so shit,"['luci', 'had', 'potenti', 'to', 'be', 'a', 'mess', 'up', 'film', 'but', 'fail', 'it', 's', 'so', 'shit']",False,True
2258,550325808699801601,,-0.06475700000000001,51.381958000000004,-0.06475699692964554,51.3819580078125,31/12/2014 16:21:12,552876525,sophieshoreXO,@Jennifer_mari3        aw bless I went into one thinking it would be fun and nearly died,Croydon,,0,2014-12-31 16:21:12,1,aw bless I went into one thinking it would be fun and nearly died,"['aw', 'bless', 'I', 'went', 'into', 'one', 'think', 'it', 'would', 'be', 'fun', 'and', 'nearli', 'die']",False,True
2273,550334470403141632,,-0.09626599999999999,51.417393,-0.0962660014629364,51.41739273071289,31/12/2014 16:55:37,173774456,_txsha,Nobody I love should die next year pls pls; I will be so angry   ,Croydon,,0,2014-12-31 16:55:37,1,Nobody I love should die next year pls pls I will be so angry,"['nobodi', 'I', 'love', 'should', 'die', 'next', 'year', 'pl', 'pl', 'I', 'will', 'be', 'so', 'angri']",True,True
2371,550342769651515393,,-0.075843,51.39424,-0.07584299892187119,51.39424133300781,31/12/2014 17:28:35,484903035,charlottemoyy,If I hadn't paid for my tickets already I would defo have considered staying in I feel like I'm dying         ,Croydon,,0,2014-12-31 17:28:35,1,If I hadn t paid for my tickets already I would defo have considered staying in I feel like I m dying,"['If', 'I', 'hadn', 't', 'paid', 'for', 'my', 'ticket', 'alreadi', 'I', 'would', 'defo', 'have', 'consid', 'stay', 'in', 'I', 'feel', 'like', 'I', 'm', 'die']",False,True
2377,550343991590666243,,-0.10279300000000001,51.395782000000004,-0.10279300063848497,51.39578247070313,31/12/2014 17:33:27,48305696,lebadass,A favour will kill you faster than a bullet,Croydon,,0,2014-12-31 17:33:27,1,A favour will kill you faster than a bullet,"['A', 'favour', 'will', 'kill', 'you', 'faster', 'than', 'a', 'bullet']",False,True
2387,550439558593400832,,-0.11687,51.363865000000004,-0.11687000095844267,51.36386489868164,31/12/2014 23:53:12,465972020,leleloves72,Can't believe I'm going into 2015 like this. Dead-ass; broke-ass; blank space of a house party holding bout 20 tursty ppl     ....,Croydon,,0,2014-12-31 23:53:12,1,Can t believe I m going into like this Dead ass broke ass blank space of a house party holding bout tursty ppl,"['can', 't', 'believ', 'I', 'm', 'go', 'into', 'like', 'thi', 'dead', 'ass', 'broke', 'ass', 'blank', 'space', 'of', 'a', 'hous', 'parti', 'hold', 'bout', 'tursti', 'ppl']",False,True
2393,550434273803911168,,-0.11296400000000001,51.371662,-0.1129639968276024,51.37166213989258,31/12/2014 23:32:12,184522230,bblackasrain,il 2014 ÃÂ¨ stato il mio anno preferito; ho visto nick santino; ho incontrato un sacco di belle persone (e altre meno belle ),Croydon,,0,2014-12-31 23:32:12,1,il stato il mio anno preferito ho visto nick santino ho incontrato un sacco di belle persone e altre meno belle,"['il', 'stato', 'il', 'mio', 'anno', 'preferito', 'ho', 'visto', 'nick', 'santino', 'ho', 'incontrato', 'un', 'sacco', 'di', 'bell', 'person', 'e', 'altr', 'meno', 'bell']",False,True
2705,550572362849333248,,-0.074679,51.39862,-0.07467900216579437,51.39862060546875,01/01/2015 08:40:55,2908091825,luketcarey1989,Shanghai new year crush kills 36. #ShanghaiStampede http://t.co/XmphFyZXAq,Croydon,ShanghaiStampede,0,2015-01-01 08:40:55,1,Shanghai new year crush kills,"['shanghai', 'new', 'year', 'crush', 'kill']",True,True
2794,550451071613939712,,-0.029039999999999996,51.367915999999994,-0.029039999470114708,51.36791610717773,01/01/2015 00:38:57,400744181,adxrntheskies,this boy's face just kills me   https://t.co/MekkwdsLId,Croydon,,0,2015-01-01 00:38:57,1,this boy s face just kills me,"['thi', 'boy', 's', 'face', 'just', 'kill', 'me']",False,True
2925,550392432844898304,,-0.078914,51.40672,-0.07891400158405304,51.40671920776367,31/12/2014 20:45:56,462323904,boogiebrown37,@philipbowes Return stronger and wiser Phil. We are all behind you. Happy New Year and success for 2015.,Croydon,,0,2014-12-31 20:45:56,1,Return stronger and wiser Phil We are all behind you Happy New Year and success for,"['return', 'stronger', 'and', 'wiser', 'phil', 'We', 'are', 'all', 'behind', 'you', 'happi', 'new', 'year', 'and', 'success', 'for']",True,True
3231,550658778170159104,,-0.050848000000000004,51.373816999999995,-0.05084799975156784,51.373817443847656,01/01/2015 14:24:18,442100466,DaveEarl94,Think I just died and come back to life.,Croydon,,0,2015-01-01 14:24:18,1,Think I just died and come back to life,"['think', 'I', 'just', 'die', 'and', 'come', 'back', 'to', 'life']",False,True
3365,550606941752659968,,-0.08262,51.314037,-0.08262000232934953,51.31403732299805,01/01/2015 10:58:19,561353615,JoeSultana97,Still being pissed from the night before is too dead,Croydon,,0,2015-01-01 10:58:19,1,Still being pissed from the night before is too dead,"['still', 'be', 'piss', 'from', 'the', 'night', 'befor', 'is', 'too', 'dead']",False,True
3460,550634522375905280,,-0.125788,51.330273,-0.12578800320625305,51.33027267456055,01/01/2015 12:47:55,223607672,rachelstephens8,Looking forward to a dry January. Last night has killed me   ,Croydon,,0,2015-01-01 12:47:55,1,Looking forward to a dry January Last night has killed me,"['look', 'forward', 'to', 'a', 'dri', 'januari', 'last', 'night', 'ha', 'kill', 'me']",False,True
3643,550660404452814850,,-0.11235099999999999,51.389359999999996,-0.11235100030899048,51.38935852050781,01/01/2015 14:30:45,926109936,FlyboyFelix96,Rooney has been dead,Croydon,,0,2015-01-01 14:30:45,1,Rooney has been dead,"['rooney', 'ha', 'been', 'dead']",False,True
3690,550673275941298176,,-0.050526,51.380179999999996,-0.05052600055932999,51.38018035888672,01/01/2015 15:21:54,603118227,LB7104,If arsenal lose it'll just kill my mood,Croydon,,0,2015-01-01 15:21:54,1,If arsenal lose it ll just kill my mood,"['If', 'arsen', 'lose', 'it', 'll', 'just', 'kill', 'my', 'mood']",False,True
3778,550620644749373440,,-0.07369400000000001,51.398174,-0.07369399815797806,51.39817428588867,01/01/2015 11:52:46,269062139,rykialeanne,Someone should've died last night,Croydon,,0,2015-01-01 11:52:46,1,Someone should ve died last night,"['someon', 'should', 've', 'die', 'last', 'night']",False,True
3825,550620016920788992,,-0.080943,51.37898300000001,-0.08094300329685211,51.37898254394531,01/01/2015 11:50:16,86828592,neilyneilneil,The guy at Currys told me I could keep a chicken in this new freezer for four months. Went to get it out this morning and it's dead! ,Croydon,,0,2015-01-01 11:50:16,1,The guy at Currys told me I could keep a chicken in this new freezer for four months Went to get it out this morning and it s dead,"['the', 'guy', 'at', 'curri', 'told', 'me', 'I', 'could', 'keep', 'a', 'chicken', 'in', 'thi', 'new', 'freezer', 'for', 'four', 'month', 'went', 'to', 'get', 'it', 'out', 'thi', 'morn', 'and', 'it', 's', 'dead']",True,True
3888,550679159027298304,,-0.044601999999999996,51.34385,-0.04460199922323227,51.3438491821289,01/01/2015 15:45:17,442707580,BluemarkC,"Martinez must be a dead men walking! RT ""@premierleague: GOAL Hull 2-0 Everton (43 mins). Jelavic doubles Hull's lead #HULEVE ",Croydon,HULEVE,0,2015-01-01 15:45:17,1,Martinez must be a dead men walking RT GOAL Hull Everton mins Jelavic doubles Hull s lead,"['martinez', 'must', 'be', 'a', 'dead', 'men', 'walk', 'RT', 'goal', 'hull', 'everton', 'min', 'jelav', 'doubl', 'hull', 's', 'lead']",False,True
4002,550691064215257088,,-0.102551,51.337593,-0.10255099833011627,51.33759307861328,01/01/2015 16:32:35,424942148,beckie_g,Running in this weather kills my ears    ,Croydon,,0,2015-01-01 16:32:35,1,Running in this weather kills my ears,"['run', 'in', 'thi', 'weather', 'kill', 'my', 'ear']",False,True
4093,550760930217562112,,-0.096432,51.417526,-0.09643200039863586,51.41752624511719,01/01/2015 21:10:13,173774456,_txsha,Ronnie's lost bare kids :(,Croydon,,0,2015-01-01 21:10:13,1,Ronnie s lost bare kids,"['ronni', 's', 'lost', 'bare', 'kid']",False,True
4102,550756308358807552,,-0.115034,51.362384999999996,-0.11503399908542633,51.36238479614258,01/01/2015 20:51:51,361608913,KingOyinbo,Eastenders are tryna stress me again,Croydon,,0,2015-01-01 20:51:51,1,Eastenders are tryna stress me again,"['eastend', 'are', 'tryna', 'stress', 'me', 'again']",False,True
4107,550760939726053376,,-0.118674,51.393314000000004,-0.11867400258779524,51.39331436157226,01/01/2015 21:10:15,1906122506,Jchlee_x,She can't die man,Croydon,,0,2015-01-01 21:10:15,1,She can t die man,"['she', 'can', 't', 'die', 'man']",False,True
4109,550762633616695296,,-0.096433,51.417522,-0.09643299877643584,51.41752243041992,01/01/2015 21:16:59,173774456,_txsha,Can someone just die this episode pls,Croydon,,0,2015-01-01 21:16:59,1,Can someone just die this episode pls,"['can', 'someon', 'just', 'die', 'thi', 'episod', 'pl']",False,True
4113,550755911992897536,,-0.063596,51.388695,-0.06359600275754929,51.3886947631836,01/01/2015 20:50:16,328623675,grace__champion,I bet Abby killed Lucy,Croydon,,0,2015-01-01 20:50:16,1,I bet Abby killed Lucy,"['I', 'bet', 'abbi', 'kill', 'luci']",False,True
4114,550757456734089216,,-0.11489500000000001,51.36244,-0.11489500105381012,51.3624382019043,01/01/2015 20:56:24,361608913,KingOyinbo,I just wanna know who dies this episode,Croydon,,0,2015-01-01 20:56:24,1,I just wanna know who dies this episode,"['I', 'just', 'wan', 'na', 'know', 'who', 'die', 'thi', 'episod']",False,True
4117,550760582140276737,,-0.118654,51.39333,-0.11865399777889253,51.39332962036133,01/01/2015 21:08:50,1906122506,Jchlee_x,Don't die ronnie no bbes,Croydon,,0,2015-01-01 21:08:50,1,Don t die ronnie no bbes,"['don', 't', 'die', 'ronni', 'no', 'bbe']",False,True
4121,550762883878240256,,-0.109824,51.347946,-0.10982400178909303,51.34794616699219,01/01/2015 21:17:58,2147605465,realist_savs,Nick is slysly ya kno  ,Croydon,,0,2015-01-01 21:17:58,1,Nick is slysly ya kno,"['nick', 'is', 'slysli', 'ya', 'kno']",False,True
4123,550763455826100224,,-0.071636,51.386627000000004,-0.07163599878549576,51.38662719726562,01/01/2015 21:20:15,227790813,__Zahrah__,#EastEnders Emma is gonna collapse and die of a head injury my prediction!,Croydon,EastEnders,0,2015-01-01 21:20:15,1,Emma is gonna collapse and die of a head injury my prediction,"['emma', 'is', 'gon', 'na', 'collaps', 'and', 'die', 'of', 'a', 'head', 'injuri', 'my', 'predict']",False,True
4125,550763954503704576,,-0.029892000000000002,51.37004,-0.029891999438405037,51.37004089355469,01/01/2015 21:22:14,400744181,adxrntheskies,Ronnie's womb is haunted bruv,Croydon,,0,2015-01-01 21:22:14,1,Ronnie s womb is haunted bruv,"['ronni', 's', 'womb', 'is', 'haunt', 'bruv']",False,True
4135,550763975160631296,,-0.037386,51.341858,-0.03738600015640259,51.34185791015625,01/01/2015 21:22:19,1887997478,Charlie_Knight_,Everything happening on Eastenders tonight!   ,Croydon,,0,2015-01-01 21:22:19,1,Everything happening on Eastenders tonight,"['everyth', 'happen', 'on', 'eastend', 'tonight']",False,True
4136,550765917454741505,,-0.096412,51.417590000000004,-0.09641200304031372,51.4175910949707,01/01/2015 21:30:02,173774456,_txsha,Omgggg Ronnie,Croydon,,0,2015-01-01 21:30:02,1,Omgggg Ronnie,"['omgggg', 'ronni']",False,True
4143,550760214585442304,,-0.10844100000000001,51.32533,-0.10844100266695024,51.3253288269043,01/01/2015 21:07:22,44693796,cathwood_,Shitttttt Eastenders,Croydon,,0,2015-01-01 21:07:22,1,Shitttttt Eastenders,"['shitttttt', 'eastend']",False,True
4144,550761175118782464,,-0.118676,51.393314000000004,-0.11867599934339525,51.39331436157226,01/01/2015 21:11:11,1906122506,Jchlee_x,She ain't dead yesss,Croydon,,0,2015-01-01 21:11:11,1,She ain t dead yesss,"['she', 'ain', 't', 'dead', 'yesss']",False,True
4146,550765991979155456,,-0.11489300000000001,51.362384999999996,-0.11489299684762955,51.36238479614258,01/01/2015 21:30:19,361608913,KingOyinbo,Roxy should of died tbh she annoys me,Croydon,,0,2015-01-01 21:30:19,1,Roxy should of died tbh she annoys me,"['roxi', 'should', 'of', 'die', 'tbh', 'she', 'annoy', 'me']",False,True
4155,550758130481897473,,-0.029892000000000002,51.37004,-0.029891999438405037,51.37004089355469,01/01/2015 20:59:05,400744181,adxrntheskies,have they even told us who killed lucy?,Croydon,,0,2015-01-01 20:59:05,1,have they even told us who killed lucy,"['have', 'they', 'even', 'told', 'us', 'who', 'kill', 'luci']",False,True
4156,550758492290973696,,-0.064837,51.382057,-0.0648370012640953,51.382057189941406,01/01/2015 21:00:31,552876525,sophieshoreXO,LOOOOOOOL PHIL M8,Croydon,,0,2015-01-01 21:00:31,1,LOOOOOOOL PHIL M,"['loooooool', 'phil', 'M']",False,True
4157,550759529626222592,,-0.10797000000000001,51.40909600000001,-0.10796999931335448,51.409095764160156,01/01/2015 21:04:39,353341343,KingAngelxo,EastEnders love to prolong things  ,Croydon,,0,2015-01-01 21:04:39,1,EastEnders love to prolong things,"['eastend', 'love', 'to', 'prolong', 'thing']",False,True
4159,550761192697118720,,-0.029892000000000002,51.37004,-0.029891999438405037,51.37004089355469,01/01/2015 21:11:15,400744181,adxrntheskies,Phil is THE man,Croydon,,0,2015-01-01 21:11:15,1,Phil is THE man,"['phil', 'is', 'the', 'man']",False,True
4166,550756384795787265,,-0.096428,51.417522,-0.09642799943685533,51.41752243041992,01/01/2015 20:52:09,173774456,_txsha,Emma should die today pls; so annoying kmt,Croydon,,0,2015-01-01 20:52:09,1,Emma should die today pls so annoying kmt,"['emma', 'should', 'die', 'today', 'pl', 'so', 'annoy', 'kmt']",False,True
4168,550758513073741827,,-0.09635,51.41744,-0.09634999930858612,51.41743850708008,01/01/2015 21:00:36,173774456,_txsha,Phil uno           ,Croydon,,0,2015-01-01 21:00:36,1,Phil uno,"['phil', 'uno']",False,True
4180,550759554523627520,,-0.048726,51.38498,-0.04872599989175797,51.38497924804688,01/01/2015 21:04:45,286125266,TolgaK69,Fucking ruining Eastenders mate   ,Croydon,,0,2015-01-01 21:04:45,1,Fucking ruining Eastenders mate,"['fuck', 'ruin', 'eastend', 'mate']",False,True
4184,550760466893783040,,-0.11863399999999999,51.39334,-0.11863400042057035,51.39334106445313,01/01/2015 21:08:22,1906122506,Jchlee_x,Bruv juag get Ronnie,Croydon,,0,2015-01-01 21:08:22,1,Bruv juag get Ronnie,"['bruv', 'juag', 'get', 'ronni']",False,True
4186,550764575046762497,,-0.06679299999999999,51.320164,-0.06679300218820572,51.32016372680664,01/01/2015 21:24:42,554328746,beckkajones,Denise needs to sort herself out,Croydon,,0,2015-01-01 21:24:42,1,Denise needs to sort herself out,"['denis', 'need', 'to', 'sort', 'herself', 'out']",False,True
4191,550757942853902338,,-0.029892000000000002,51.37004,-0.029891999438405037,51.37004089355469,01/01/2015 20:58:20,400744181,adxrntheskies,given up with EastEnders lol if the Christmas episode didn't bang how do you think I will continue to watch it?,Croydon,,0,2015-01-01 20:58:20,1,given up with EastEnders lol if the Christmas episode didn t bang how do you think I will continue to watch it,"['given', 'up', 'with', 'eastend', 'lol', 'if', 'the', 'christma', 'episod', 'didn', 't', 'bang', 'how', 'do', 'you', 'think', 'I', 'will', 'continu', 'to', 'watch', 'it']",False,True
4192,550759728524324864,,-0.09641799999999999,51.41754,-0.09641800075769424,51.41754150390625,01/01/2015 21:05:26,173774456,_txsha,Phil man      ,Croydon,,0,2015-01-01 21:05:26,1,Phil man,"['phil', 'man']",False,True
4198,550763712886603777,,-0.037343,51.341854,-0.037342999130487435,51.34185409545898,01/01/2015 21:21:16,1887997478,Charlie_Knight_,Eastenders is peak!,Croydon,,0,2015-01-01 21:21:16,1,Eastenders is peak,"['eastend', 'is', 'peak']",False,True
